Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Purchase,Collection Purchase - Detail,Collection Lyrics,Collection MoFi Sleeve,Collection 1st Play,Collection 2nd Play,Collection 3rd Play,Collection 4th Play,Collection 5th Play,Collection 6th Play,Collection 7th Play,Collection 8th Play,Collection 9th Play,Collection 10th Play,Collection Purchase Date,Collection Color,api_url,genre,style,num_songs,format,format_qty,community_have,community_want,rating_avg,rating_count,date_played,year,runtime
MRG385,Arcade Fire,The Suburbs,"Merge Records, Sonovox Records","2xLP, Album",NA,2010,2380004,Vinyl LPs (New),3/31/2016 11:25,NA,NA,Label,Merge Records,NA,Yes x2,5/6/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2380004,Rock,Alternative Rock,16,Vinyl,2,15774,4797,4.5,1319,5/6/2022,2010,64
MRG485A,Arcade Fire,Reflektor,"Merge Records, Sonovox Records","2xLP, Album, 180",NA,2013,5041370,Vinyl LPs (New),4/16/2016 5:25,Mint (M),Mint (M),GoHastings,NA,NA,Yes x2,5/6/2022,1/21/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/5041370,Rock,Indie Rock,15,Vinyl,2,14990,2568,4.26,1215,5/6/2022,2013,75
3871448,Juliette Armanet,Brûler Le Feu,Not On Label,"LP, Album",NA,2021,21532888,Vinyl LPs (New),5/6/2022 16:24,Mint (M),Mint (M),eBay,get_importcds,Yes,Yes,5/6/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/21532888,Electronic,Chanson,13,Vinyl,1,256,38,4,13,5/6/2022,2022,50.25
ZOD010,La Femme (4),Paradigmes: Supplements,Disque Pointu,"LP, RSD",NA,2022,22980185,Vinyl LPs (New),5/8/2022 5:05,Mint (M),Mint (M),eBay,sirenrecords,NA,Yes,5/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/22980185,Electronic,Synth-pop,10,Vinyl,1,478,109,4,23,5/8/2022,2021,44.5
impe004v,L'impératrice,Vanille Fraise,Microqlima,"12"", RSD, Single, Ltd",NA,2022,22964792,Vinyl LPs (New),5/8/2022 4:59,Mint (M),Mint (M),eBay,sirenrecords,NA,Yes,5/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/22964792,Electronic,Electro,2,Vinyl,1,787,131,4.84,51,5/8/2022,2015,4
KENDRICKLP002,Kendrick Lamar,Section.80,Top Dawg Entertainment (2),"2xLP, Album, Ltd, Promo, Unofficial, Cle",4,2013,4703189,Vinyl LPs (New) Bootlegs,2/11/2015 0:43,Mint (M),Mint (M),"Other
",hhv.de,No,No x2,3/15/2015,11/1/2015,5/9/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4703189,Hip Hop,Conscious,16,Vinyl,2,1263,1119,4.43,136,5/9/2022,2011,54.5
382799-4,Claire Laffut,Bleu,Decca,"2xLP, Album",NA,2021,20185390,Vinyl LPs (New),9/10/2021 12:58,Mint (M),Mint (M),Label,NA,Oui,Yes x2,9/9/2021,5/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,5/17/2021 9:49,NA,https://api.discogs.com/releases/20185390,Pop,Chanson,13,Vinyl,2,108,29,4.5,8,5/11/2022,2021,42.3
XLLP583,Atoms For Peace (2),Amok,XL Recordings,"2x12"", Album",4,2013,4321323,Vinyl LPs (New),2/21/2015 18:09,Mint (M),Mint (M),UO,NA,NA,NA,2/27/2015,1/2/2022,5/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4321323,Electronic,IDM,9,Vinyl,2,4615,611,4.24,337,5/13/2022,2013,44.68
XLLP866,Thom Yorke,Tomorrow's Modern Boxes,XL Recordings,"LP, Album, RE, Whi",NA,2017,11242541,Vinyl LPs (New),5/14/2022 7:57,Mint (M),Mint (M),Amazon,NA,NA,Yes,5/14/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/10/2017 12:00,White,https://api.discogs.com/releases/11242541,Electronic,Alternative Rock,8,Vinyl,1,3765,503,4.44,264,5/14/2022,2014,38.1
"PCS 7088, 094638246817",The Beatles,Abbey Road,"Apple Records, Apple Records","LP, Album, RE, RM, 180",NA,2012,4042258,Vinyl LPs (New),5/3/2019 14:51,Mint (M),Mint (M),UO,NA,NA,No,5/15/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4042258,Rock,Pop Rock,17,Vinyl,1,14797,1541,4.7,1554,5/15/2022,1969,47.5
